Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2014-01,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacting Crops in Southern Brazil,Argentine Farmers Hold their Grain amid Economic Turmoil,Vale Indicates a Desire to sell its Potassium Mine in Argentina,Brazilian Farmers Undecided about Safrinha Corn Acreage,Reaction to Last Week's USDA Reports,,,,,"4,26",0,0
2014-01,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacts Soybean Yields in Goias,Freight Rates in Brazil Surge as Soy Harvesting Gets under Way,Embrapa to Conduct Field Days Promoting Conventional Soybeans,Brazil Soy Farmers Generally Successful Controlling Insects ,Vale Indicates a Desire to sell its Potassium Mine in Argentina,First New Crop Soybeans Leave Brazil Destined for China,Northern Export Routes being developed for Brazilian Soybeans,Soybean Harvest Underway in Brazil's two Top Producing States,Reaction to Last Week's USDA Reports,"13,12",0,0
2014-01-06,Capacity Expands at Latin America's Largest Grain Terminal,Livestock Producers in Brazil Fear Diversion of Corn to Export and Ethanol Production,Harvest Picks Up in Mato Grosso Dry Concerns in Central Brazil,Brazilian Farmers Advised to stay Vigilant about Soybean Rust,Thousands of Additional Trucks Expected on Brazilian Highways,"Harvest Picks Up in Mato Grosso, Dry Concerns in Central Brazil",Brazilian Corn Acreage Losing out to Higher Priced Soybeans,,,,"4,23",1,1
2014-01-12,"""Phytosanitary Emergency"" Decreed for State of Mato Grosso",Soybean Harvest Underway in Brazil's two Top Producing States,Brazilian Farmers Undecided about Safrinha Corn Acreage,Reaction to Last Week's USDA Reports,,,,,,,"4,29",0,0
2014-01-24,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Northern Export Routes being developed for Brazilian Soybeans,Argentine Economy on Accelerated Downward Spiral,"Brazil Soybeans are 93% GMO, Corn is 82%, and Cotton is 66%",First New Crop Soybeans Leave Brazil Destined for China,,,,,,"4,31",1,1
2014-01-27,Argentine Economy on Accelerated Downward Spiral,Brazil Soy Farmers Generally Successful Controlling Insects ,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Northern Export Routes being developed for Brazilian Soybeans,"Brazil Soybeans are 93% GMO, Corn is 82%, and Cotton is 66%",Vale Indicates a Desire to sell its Potassium Mine in Argentina,First New Crop Soybeans Leave Brazil Destined for China,Brazil Soy Farmers Generally Successful Controlling Insects,,,"4,32",1,1
2014-01-30,Brazil Soy Farmers Generally Successful Controlling Insects ,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Embrapa to Conduct Field Days Promoting Conventional Soybeans,Brazil Soy Farmers Generally Successful Controlling Insects,Cities in Southern Brazil endure Record High January Temps,Argentine Farmers Hold their Grain amid Economic Turmoil,"Brazil Soybeans are 93% GMO, Corn is 82%, and Cotton is 66%",Northern Export Routes being developed for Brazilian Soybeans,Vale Indicates a Desire to sell its Potassium Mine in Argentina,First New Crop Soybeans Leave Brazil Destined for China,"4,38",1,0
2014-02,Dryer Weather Allows Advance of Brazil Soybean Harvest,Safrinha Soybeans Increase Nematode Populations,Secretary of Agriculture Downgrades Parana's Soy Estimate,High Humidity Causes Problems for Brazilian Soybean Harvest,"More Traffic Woes for Brazil's ""Soybean Highway""",Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Conab Trims Brazilian Soybean Estimate,,,,"12,97",0,-1
2014-02,Winter Wheat May Replace some Safrinha Corn in Parana,Safrinha Soybeans Increase Nematode Populations,Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Adverse Weather takes Toll on Crops in Eastern/Southern Brazil,POET May Build Four Corn-Based Ethanol Plants in M.T. do Sul,,,,,,"4,32",1,1
2014-02-02,Embrapa to Conduct Field Days Promoting Conventional Soybeans,Dry Weather Impacting Crops in Southern Brazil,Dry Weather Impacts Soybean Yields in Goias,Brazilian Farmers Warned not to Apply Descants too Early,Cities in Southern Brazil endure Record High January Temps,Freight Rates in Brazil Surge as Soy Harvesting Gets under Way,Argentine Farmers Hold their Grain amid Economic Turmoil,,,,"4,42",1,0
2014-02-05,Argentine Farmers Hold their Grain amid Economic Turmoil,Brazilian Farmers Warned not to Apply Descants too Early,Freight Rates in Brazil Surge as Soy Harvesting Gets under Way,Dry Weather Impacts Soybean Yields in Goias,Dry Weather Impacting Crops in Southern Brazil,President Rousseff to meet with Farmers in Mato Grosso Today,Blocking High Pressure in S.E. Brazil may break down next Week,,,,"4,43",1,0
2014-02-08,President Rousseff to meet with Farmers in Mato Grosso Today,Conab Trims Brazilian Soybean Estimate,Adverse Weather takes Toll on Crops in Eastern/Southern Brazil,POET May Build Four Corn-Based Ethanol Plants in M.T. do Sul,Blocking High Pressure in S.E. Brazil may break down next Week,,,,,,"4,42",1,1
2014-02-20,Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Harvest Progress in Brazil Slowed by Wet Weather,"More Traffic Woes for Brazil\'s ""Soybean Highway""","More Traffic Woes for Brazil's ""Soybean Highway""",,,,,,,"4,55",1,1
2014-02-23,"More Traffic Woes for Brazil's ""Soybean Highway""",High Humidity Causes Problems for Brazilian Soybean Harvest,Southern Ports in Brazil facing Northern Competition,Secretary of Agriculture Downgrades Parana's Soy Estimate,"More Traffic Woes for Brazil\'s ""Soybean Highway""",Harvest Progress in Brazil Slowed by Wet Weather,Wet Weather Delays Soy Harvest and Corn Planting in Brazil,,,,"4,56",1,1
2014-02-26,Flooding Isolates States of Rondonia and Acre from Rest of Brazil,Dryer Weather Allows Advance of Brazil Soybean Harvest,Harvest Progress in Brazil Slowed by Wet Weather,High Humidity Causes Problems for Brazilian Soybean Harvest,Safrinha Soybeans Increase Nematode Populations,Limited Harvest Resumes in Mato Grosso Roads in poor Condition,Southern Ports in Brazil facing Northern Competition,Secretary of Agriculture Downgrades Parana's Soy Estimate,"Limited Harvest Resumes in Mato Grosso, Roads in poor Condition",,"4,65",1,1
2014-03,Argentine Farmers still holding over 7 Million Tons of Soybeans,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Brazil on track for Record Soybean Exports,Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans,Wheat Production May Move into Central Brazil,Argentine Farmers Still Hold 5 mt of Last Year's Soybean Crop,Brazil Soybean Exports off to a Faster Start than Last Year,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,"Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road","13,77",1,1
2014-03,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Program Encourages Grain Storage Expansion in Brazil,Grain Companies Propose Three New Railroads for Mato Grosso,Corn Earworm Damage in Bahia less than Feared,Brazilian Ranchers Combining Cattle and Row Crops for Profit,Wheat Production May Move into Central Brazil,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,Safrinha Corn and Cotton Planting Wrapping up in Mato Grosso,Drought Lowers Prospects for Brazil's Sugarcane Production,"4,58",1,1
2014-03-01,Flooding Isolates States of Rondonia and Acre from Rest of Brazil,Harvesting and Planting Progress in Central Brazil,Safrinha Soybeans Increase Nematode Populations,Dryer Weather Allows Advance of Brazil Soybean Harvest,"Limited Harvest Resumes in Mato Grosso, Roads in poor Condition",Limited Harvest Resumes in Mato Grosso Roads in poor Condition,Winter Wheat May Replace some Safrinha Corn in Parana,,,,"4,83",1,0
2014-03-07,Winter Wheat May Replace some Safrinha Corn in Parana,Brazil Quickly Converting to Mechanical Sugarcane Harvesting,Safrinha Corn and Cotton Planting Wrapping up in Mato Grosso,"Emergency Declared in 17 Cities in Mato Grosso, more to come",Argentine Farmers have Lower Transport Costs than Brazilians,Conab Slashes Brazil's Soybean Estimate 4.57 Million Tons (-5%),Emergency Declared in 17 Cities in Mato Grosso more to come,Brazilian Soybean Exports Set Record for Month of February,Drought Lowers Prospects for Brazil's Sugarcane Production,,"4,85",0,0
2014-03-10,Drought Lowers Prospects for Brazil's Sugarcane Production,Emergency Declared in 17 Cities in Mato Grosso more to come,"Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road",Brazilian Soybean Exports Set Record for Month of February,"Brazil\'s ""Soybean Highway"" (BR-163) now Officially a Toll Road",Conab Slashes Brazil's Soybean Estimate 4.57 Million Tons (-5%),Safrinha Corn and Cotton Planting Wrapping up in Mato Grosso,Brazil Quickly Converting to Mechanical Sugarcane Harvesting,Argentine Farmers have Lower Transport Costs than Brazilians,"Emergency Declared in 17 Cities in Mato Grosso, more to come","4,84",0,0
2014-03-13,"Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road",Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Safrinha Corn and Cotton Planting Wrapping up in Mato Grosso,"Brazil\'s ""Soybean Highway"" (BR-163) now Officially a Toll Road",Conab Slashes Brazil's Soybean Estimate 4.57 Million Tons (-5%),Brazil Soybean Exports off to a Faster Start than Last Year,Uruguay Farmers Continue to Increase their Soybean Production,,,,"4,85",0,0
